Id,x,y,month,year,season
339,3843,1839,jan,2022,s,
340,2548,3018,jan,2022,s,
341,4797,2876,jan,2022,s,
342,4435,2222,jan,2022,s,
343,4547,2134,jan,2022,s,
344,4602,2790,jan,2022,s,
345,4854,1996,jan,2022,s,
346,4231,3228,jan,2022,s,
347,4323,3477,jan,2022,s,
348,4199,2117,jan,2022,s,
349,4532,1337,jan,2022,s,
350,3007,2791,jan,2022,s,
351,2896,1383,jan,2022,s,
352,4110,3306,jan,2022,s,
353,4668,3330,jan,2022,s,
354,4377,2878,jan,2022,s,
355,2912,2988,jan,2022,s,
356,3657,1710,jan,2022,s,
357,4411,2769,jan,2022,s,
358,3722,3680,jan,2022,s,
359,4879,2274,jan,2022,s,
360,17,1852,jan,2022,s,
361,4839,1595,jan,2022,s,
362,4520,3048,jan,2022,s,
363,4641,1265,jan,2022,s,
364,4817,3553,jan,2022,s,
365,4278,3259,jan,2022,s,
366,4830,3202,jan,2022,s,
367,4464,1548,jan,2022,s,
368,4970,3549,jan,2022,s,
369,4510,3371,jan,2022,s,
370,962,737,jan,2022,s,
371,4559,3438,jan,2022,s,
372,4772,37,jan,2022,s,
373,4136,3342,jan,2022,s,
374,4887,3504,jan,2022,s,
375,3972,3558,jan,2022,s,
376,4894,3718,jan,2022,s,
377,4497,3597,jan,2022,s,
378,4697,2888,jan,2022,s,
379,4611,2739,jan,2022,s,
380,4653,3098,jan,2022,s,
381,3759,3491,jan,2022,s,
382,4450,3679,jan,2022,s,
383,4767,3539,jan,2022,s,
384,4453,1012,jan,2022,s,
385,5017,3634,jan,2022,s,
386,54,3502,jan,2022,s,
387,4724,3395,jan,2022,s,
388,4687,3048,jan,2022,s,
389,4799,3667,jan,2022,s,
390,4936,1960,jan,2022,s,
391,4877,2829,jan,2022,s,
392,4725,3439,jan,2022,s,
393,4651,2728,jan,2022,s,
394,4518,3676,jan,2022,s,
395,4709,3269,jan,2022,s,
396,4732,3245,jan,2022,s,
397,4203,3703,jan,2022,s,
398,4346,3326,jan,2022,s,
399,4825,3340,jan,2022,s,
400,4930,1490,jan,2022,s,
401,4576,3449,jan,2022,s,
402,3579,2100,jan,2022,s,
403,4510,2841,jan,2022,s,
404,4628,3693,jan,2022,s,
405,3743,2376,jan,2022,s,
406,4131,4,jan,2022,s,
407,4549,3646,jan,2022,s,
408,4372,3238,jan,2022,s,
409,4902,3347,jan,2022,s,
410,2280,1872,jan,2022,s,
411,4347,3717,jan,2022,s,
412,4880,2040,jan,2022,s,
413,4435,33,jan,2022,s,
414,4257,2456,jan,2022,s,
415,4938,3251,jan,2022,s,
416,4728,3079,jan,2022,s,
417,4991,3250,jan,2022,s,
418,4351,2438,jan,2022,s,
419,3329,2936,jan,2022,s,
420,4582,3282,jan,2022,s,
421,4585,2823,jan,2022,s,
422,4501,3600,jan,2022,s,
423,3777,3520,jan,2022,s,
424,2692,2522,jan,2022,s,
425,4489,3189,jan,2022,s,
426,3726,3503,jan,2022,s,
427,4807,2962,jan,2022,s,
428,4293,3558,jan,2022,s,
429,4534,1228,jan,2022,s,
430,4652,1645,jan,2022,s,
431,3656,3505,jan,2022,s,
432,4927,2360,jan,2022,s,
433,4622,2200,jan,2022,s,
434,4834,1492,jan,2022,s,
435,4647,3725,jan,2022,s,
436,4634,3090,jan,2022,s,
437,2584,2926,jan,2022,s,
438,50,1416,jan,2022,s,
439,2861,2562,jan,2022,s,
440,4599,3302,jan,2022,s,
441,3445,3768,jan,2022,s,
442,4629,3092,jan,2022,s,
443,4222,3174,jan,2022,s,
444,3790,3606,jan,2022,s,
445,4214,3179,jan,2022,s,
446,4907,2805,jan,2022,s,
447,5013,2396,jan,2022,s,
448,4533,3470,jan,2022,s,
449,5011,2571,jan,2022,s,
450,4675,1031,jan,2022,s,
451,4111,3319,jan,2022,s,
452,3101,2446,jan,2022,s,
453,4047,3646,jan,2022,s,
454,3527,3443,jan,2022,s,
455,4855,2471,jan,2022,s,
456,4547,2652,jan,2022,s,
457,4081,2702,jan,2022,s,
458,3934,3439,jan,2022,s,
459,4810,2743,jan,2022,s,
460,4045,3631,jan,2022,s,
461,4473,3075,jan,2022,s,
462,4496,3181,jan,2022,s,
463,4429,3688,jan,2022,s,
464,4611,3574,jan,2022,s,
465,3941,2403,jan,2022,s,
466,4299,3639,jan,2022,s,
467,3403,1558,jan,2022,s,
468,4865,2707,jan,2022,s,
469,4220,3634,jan,2022,s,
470,4696,3069,jan,2022,s,
471,4906,1466,jan,2022,s,
472,4205,3259,jan,2022,s,
473,4771,3438,jan,2022,s,
474,4477,32,jan,2022,s,
475,4344,3657,jan,2022,s,
476,4638,3514,jan,2022,s,
477,4228,3562,jan,2022,s,
478,4592,2099,jan,2022,s,
479,4483,2172,jan,2022,s,
480,3916,2433,jan,2022,s,
481,4258,2779,jan,2022,s,
482,3801,3340,jan,2022,s,
483,4909,2240,jan,2022,s,
484,4727,3002,jan,2022,s,
485,4944,2986,jan,2022,s,
486,4339,2355,jan,2022,s,
487,4171,3020,jan,2022,s,
488,4854,2750,jan,2022,s,
489,4685,3326,jan,2022,s,
490,5130,3843,jan,2022,s,
491,4881,2457,jan,2022,s,
492,4934,3166,jan,2022,s,
493,4572,3759,jan,2022,s,
494,4871,2689,jan,2022,s,
495,4759,3500,jan,2022,s,
496,4637,2802,jan,2022,s,
497,3514,2535,jan,2022,s,
498,4301,2123,jan,2022,s,
499,5013,2372,jan,2022,s,
500,4188,2481,jan,2022,s,
501,4760,2529,jan,2022,s,
502,4078,3506,jan,2022,s,
503,4280,3501,jan,2022,s,
504,4742,3157,jan,2022,s,
505,4591,2998,jan,2022,s,
506,5022,3366,jan,2022,s,
507,4496,3305,jan,2022,s,
508,4405,3667,jan,2022,s,
509,4831,3340,jan,2022,s,
510,4795,2782,jan,2022,s,
511,4903,2028,jan,2022,s,
512,4465,3143,jan,2022,s,
513,4743,3717,jan,2022,s,
514,4814,3255,jan,2022,s,
515,4844,2974,jan,2022,s,
516,4423,2058,jan,2022,s,
517,4646,3483,jan,2022,s,
518,4920,3509,jan,2022,s,
519,4857,2093,jan,2022,s,
520,4802,3170,jan,2022,s,
521,4274,3695,jan,2022,s,
522,4809,3300,jan,2022,s,
523,3918,2156,jan,2022,s,
524,4163,3503,jan,2022,s,
525,4907,3342,jan,2022,s,
526,4470,2258,jan,2022,s,
527,4379,2903,jan,2022,s,
528,4849,2190,jan,2022,s,
529,4879,3587,jan,2022,s,
530,3300,993,jan,2022,s,
531,4636,3418,jan,2022,s,
532,3207,2720,jan,2022,s,
533,4509,3341,jan,2022,s,
534,4976,3525,jan,2022,s,
535,4663,3575,jan,2022,s,
536,4738,3563,jan,2022,s,
537,4948,3288,jan,2022,s,
538,4676,3507,jan,2022,s,
539,4354,3430,jan,2022,s,
540,4778,3361,jan,2022,s,
541,3874,3673,jan,2022,s,
542,4771,3499,jan,2022,s,
543,4539,3396,jan,2022,s,
544,4357,3573,jan,2022,s,
545,5018,3683,jan,2022,s,
546,3304,2853,jan,2022,s,
547,4654,3548,jan,2022,s,
548,4604,2794,jan,2022,s,
549,4251,2331,jan,2022,s,
550,4900,3232,jan,2022,s,
551,15,3112,jan,2022,s,
552,4914,3741,jan,2022,s,
553,4700,3470,jan,2022,s,
554,4408,3616,jan,2022,s,
555,4736,3714,jan,2022,s,
556,10,3006,jan,2022,s,
557,4785,3565,jan,2022,s,
558,4683,2945,jan,2022,s,
559,4201,3678,jan,2022,s,
560,4497,2777,jan,2022,s,
561,4670,3526,jan,2022,s,
562,3792,3256,jan,2022,s,
563,4367,3636,jan,2022,s,
564,4938,2643,jan,2022,s,
565,4870,3723,jan,2022,s,
566,4829,3785,jan,2022,s,
567,3060,2711,jan,2022,s,
568,4521,3449,jan,2022,s,
569,4313,3657,jan,2022,s,
570,3643,3578,jan,2022,s,
571,3859,3559,jan,2022,s,
572,4269,3572,jan,2022,s,
573,4628,3674,jan,2022,s,
574,3562,3382,jan,2022,s,
575,4786,3685,jan,2022,s,
576,3142,2027,jan,2022,s,
577,4579,3619,jan,2022,s,
578,4589,3720,jan,2022,s,
579,4596,2690,jan,2022,s,
580,4652,3210,jan,2022,s,
581,4700,3288,jan,2022,s,
582,4586,3624,jan,2022,s,
583,4492,3667,jan,2022,s,
584,4550,2598,jan,2022,s,
585,4558,3235,jan,2022,s,
586,4508,3751,jan,2022,s,
587,4365,3459,jan,2022,s,
588,4180,3031,jan,2022,s,
589,4562,3174,jan,2022,s,
590,4338,3645,jan,2022,s,
591,4576,3452,jan,2022,s,
592,4591,3611,jan,2022,s,
593,4736,3252,jan,2022,s,
594,4723,3639,jan,2022,s,
595,4628,3569,jan,2022,s,
596,4779,3169,jan,2022,s,
597,4600,3387,jan,2022,s,
598,4356,2577,jan,2022,s,
599,4623,3578,jan,2022,s,
600,4516,2695,jan,2022,s,
601,4599,3044,jan,2022,s,
602,3962,2851,jan,2022,s,
603,4707,3561,jan,2022,s,
604,4423,3651,jan,2022,s,
605,4792,3187,jan,2022,s,
606,4651,2612,jan,2022,s,
607,4837,2579,jan,2022,s,
608,4599,3358,jan,2022,s,
609,40,2822,jan,2022,s,
610,4643,3166,jan,2022,s,
611,4218,3435,jan,2022,s,
612,4848,2707,jan,2022,s,
613,4655,3616,jan,2022,s,
614,4563,2707,jan,2022,s,
615,4766,3345,jan,2022,s,
616,4620,3537,jan,2022,s,
617,4452,3183,jan,2022,s,
618,4508,3407,jan,2022,s,
619,3543,2634,jan,2022,s,
620,4412,3556,jan,2022,s,
621,4536,3561,jan,2022,s,
622,4280,3481,jan,2022,s,
623,4509,3102,jan,2022,s,
624,4484,3104,jan,2022,s,
625,40,2727,jan,2022,s,
626,4342,3392,jan,2022,s,
627,4385,2750,jan,2022,s,
628,4736,3278,jan,2022,s,
629,3606,2608,jan,2022,s,
630,4577,2576,jan,2022,s,
631,4323,3427,jan,2022,s,
632,4348,3503,jan,2022,s,
633,4697,3544,jan,2022,s,
634,4784,3704,jan,2022,s,
635,4526,3593,jan,2022,s,
636,4760,2468,jan,2022,s,
637,4763,3508,jan,2022,s,
638,4534,3210,jan,2022,s,
639,4774,3312,jan,2022,s,
640,4683,3328,jan,2022,s,
641,4684,3138,jan,2022,s,
642,4314,3445,jan,2022,s,
643,4487,3545,jan,2022,s,
644,4560,3548,jan,2022,s,
645,4529,3193,jan,2022,s,
646,4637,3269,jan,2022,s,
647,4576,3565,jan,2022,s,
648,4183,3171,jan,2022,s,
649,4385,3542,jan,2022,s,
650,4731,3331,jan,2022,s,
651,188,2781,jan,2022,s,
652,4535,2746,jan,2022,s,
653,4221,3429,jan,2022,s,
654,4374,3618,jan,2022,s,
655,4767,3616,jan,2022,s,
656,4610,2666,jan,2022,s,
657,4526,3505,jan,2022,s,
