Id,color1,color2,color3,color4,color5
257,[228.15080058 106.77595342 151.35982533],[49.26020908 42.47204495 46.74764105],[156.84704476 122.05246139 106.45757231],[80.16132681 73.4984307  85.45219622],[211.32095376 211.82861272 214.62947977],
258,[142.00213675  96.54439696  99.57309803],[98.85920961 79.55622833 72.28241276],[171.92102906 141.08294608  96.25541683],[243.09290074 228.52854387  85.37699361],[246.51113797  35.69521672 194.72543602],
259,[244.85806815 218.92649958  15.89524078],[215.09352456 154.05545977 123.00893829],[235.49722262 231.57328016 219.85757015],[155.4        116.19884731  84.14170707],[69.2984862  78.46859783 84.97654775],
260,[250.7565639   91.62179976 163.29572938],[75.16585853 54.51420612 36.36627536],[222.06858511 144.48115788  92.76885464],[160.92307001 105.86581805  58.34629727],[230.4449142  209.76386471 179.6895051 ],
261,[62.68150251 75.33861008 75.82638054],[132.61052852 118.11003915 106.81133482],[250.65945946 230.14741408  54.39546213],[231.36301191 190.55635876 179.87316826],[195.45958028 151.4176591  141.53958369],
262,[163.77111154 118.49522849  89.68042079],[233.18900962  96.69619803 147.46399129],[98.28162242 82.3099115  72.24893805],[239.66787703 235.53274026 228.42283951],[222.96368684 151.36724753 119.35907646],
263,[212.07457917 148.4309232  113.97645675],[151.50744068  92.38500309  82.15032771],[198.40620002 104.05127238  94.30217287],[99.8785277  68.0869306  69.23745926],[218.08786699 204.93233716 193.47290329],
264,[247.02568555 248.28565227 244.93423052],[243.6974491  190.33780657 155.40797085],[104.90880248  92.6930425   94.76480731],[ 94.32598591 163.25434856 199.94163592],[198.51689418 126.06703939 120.74161688],
265,[214.85455996 175.92061804 140.04299979],[44.55290339 38.53014983 35.56233415],[186.54065368 132.19472111  93.25619136],[248.19588189  99.55691081  53.10271119],[114.90086781  87.09794746  75.7898291 ],
266,[199.82517281 102.39343318  98.15996544],[208.47038184 184.80825593  99.54468524],[174.07985398 132.85131949 121.23355388],[163.85071789 150.41295046 144.25587145],[148.62170005 126.21346167 111.22747541],
267,[233.81745392 232.28415899 225.2937212 ],[83.72242099 76.94639237 64.68321407],[232.13231649 167.51414726 129.05515978],[190.88387857 139.8005084  104.23787946],[142.66142219 112.91614001  86.11163654],
268,[126.95330266 203.04886729   3.53276625],[200.53641467 105.03127506 116.7029817 ],[234.70908298 211.63237379 203.54538763],[113.74833424  86.5459997   84.47981343],[237.46275155 174.38046633 145.54209801],
269,[220.30058758 213.57846438 199.39941903],[42.8697753  31.63051722 29.65732053],[160.3816924  118.08364035  97.89154974],[202.51739394 165.89919989 131.08179923],[103.09846367  78.37121312  67.71398826],
270,[251.89369121  41.27311061 183.42742459],[87.64139689 70.6035833  68.01796203],[223.26013257 109.10561202 103.6385506 ],[245.59103122 190.95798203 154.98957658],[157.97399414 107.6505472   86.82085917],
271,[232.06269998 231.71359521 227.31806113],[ 61.60170679 109.63666722 145.36898087],[234.1405643  170.4194729  153.73538632],[173.10497147 119.41897736  97.79625323],[69.9778209  71.65385488 71.96069511],
272,[246.73606282  51.19188347  96.81728809],[133.66294855  91.506403    99.22623196],[234.01992105 170.40863854 164.82266786],[191.84394022 105.50107894 117.13747625],[76.03875983 66.40307399 73.81392111],
273,[207.57362068 165.18508929 161.39110155],[228.80880578 232.81787849 237.7961551 ],[250.11552347 249.42619334  93.55876454],[154.39575217 130.62053183 115.53930098],[94.20830306 90.83351638 85.70844668],
274,[70.72177154 52.35309257 44.89954291],[125.80835833  71.9659806   62.35615712],[180.88545111 119.03466646  98.07413531],[187.99809955  50.21679702  63.14574958],[214.02383746 204.82226888 191.19119373],
275,[125.97685316  90.00062101  75.53308305],[39.27905928 37.51392914 49.20729493],[224.71911077 208.2593264   54.15170308],[203.88619947 196.45366029 196.72187724],[191.21288203 145.64449236 131.19039419],
276,[163.07915313 116.89040336 101.77354271],[221.02295592 163.69645706 152.31807334],[245.94210929 242.15251242 233.26948796],[85.57103042 74.2198974  67.42416286],[247.7711611  197.84475361  34.51735795],
277,[225.5000861  219.62751851 212.4160496 ],[24.24056361 20.04153484 22.66618841],[74.41686256 48.23439674 38.73147038],[189.0202061  146.16944879 120.07107435],[145.06636876  78.3212551   54.57312998],
278,[227.43072711 225.82598114 216.04180103],[40.68367303 37.7725953  39.78647677],[148.83803854 118.12610955 104.981273  ],[85.52427287 76.9522538  79.41499216],[192.41217927 156.32593531 136.79822256],
279,[188.66111792 142.89648795 123.63926705],[42.18708474 28.67518692 17.50900038],[219.15323006 215.25650754 210.33038255],[88.41485549 57.44278677 37.08495913],[151.86302333  97.39181698  71.85357025],
280,[139.71873715 106.74585073  85.12351503],[204.04669584 159.23296334 123.15691202],[228.66228353 230.81987325 220.58619988],[64.49074214 62.0415018  57.72835553],[ 13.07518488 176.47144618   8.59675431],
281,[224.34830663 158.69047492 154.36037043],[177.95731707 129.98215004 111.27358529],[246.10911174 237.41636339 180.26688233],[61.62388969 43.34734688 39.16430266],[119.87446286  97.72751882  88.22982509],
282,[143.65893132 103.53720166  84.20790134],[209.50938478 206.34445603 195.0220716 ],[193.73541819 133.52367749 123.04361173],[84.50052292 72.13101166 59.80600347],[44.95716357 38.84921576 34.70648624],
283,[186.36191568 127.28705319 110.07928278],[208.36477326 204.27220664 190.50420757],[140.38269175  98.01879402  75.11494452],[89.60261897 59.73976698 43.76140494],[30.17814213 22.13374282 19.82030579],
284,[84.98903691 65.99021613 64.55517476],[251.40121329 200.58224183  32.43375155],[240.70768798 241.05498451 234.93677837],[210.31192458 145.4473372  148.27385914],[169.05778821 108.96240285 104.06949482],
285,[99.00025384 89.89327946 89.72561504],[221.9631913  156.02848726 160.79176664],[230.40540997 194.78613274 207.90838738],[168.70085659 117.69990482 108.91791019],[54.44374153 57.30320831 55.64121103],
286,[226.28105188 226.34671151 217.29499972],[227.74576019 201.71902937  54.98214975],[191.89853916 141.14201216  88.94475777],[33.36191899 23.49460491 17.05507968],[131.18614037  86.14357332  48.01674087],
287,[28.35046729 26.36760125 24.05607477],[117.43045388 111.15080527 101.96778917],[74.22678571 64.2        53.34821429],[ 83. 242. 235.],[195.22727273 195.41818182 188.14545455],
288,[  9.26703076 180.44773402   7.2651145 ],[235.82593417 236.25648481 230.00594124],[179.31342925 105.49152497  71.50967621],[222.21678393 164.89160804 121.96304386],[107.25899122  75.5299524   59.01810627],
289,[187.13540084 139.3978614  109.95107806],[40.67439314 30.16736631 25.74039515],[247.98359791 107.59189916  71.88096619],[216.73647145 192.72148511 177.94089974],[131.83152678  79.92700541  55.72212363],
290,[25.11539989 17.97200288 19.42632376],[248.53043046  99.19112859  63.8685567 ],[93.83347198 71.4956692  60.97704918],[166.66470597 113.2081157   83.59424655],[222.52372263 219.35926095 205.91719891],
291,[99.50622465 71.57409795 57.88368931],[151.17313206  92.97562827  77.0689661 ],[178.88790887 117.44032073 103.55721013],[51.56222022 40.87721186 38.44360122],[211.97942995 203.84969078 187.18365152],
292,[71.09438944 45.11309131 49.10822638],[195.47733219 128.62167599  96.34242992],[156.33690227  75.56063339  63.640625  ],[225.9353287  212.53033137 197.28260289],[241.654274    65.96174863 144.77693208],
293,[228.74496164 221.29641944 211.07815857],[200.43212322 139.45643327 119.85256307],[60.33076429 47.45731642 53.67817384],[177.69463648  89.52217989  75.24431495],[122.38031491  85.62800024  81.36217098],
294,[130.95248876  86.83969404  78.49959572],[184.45791783 129.15448411 118.45472677],[246.5034417   73.18223949  50.83745655],[69.50063594 52.57693912 53.05150643],[223.85045617 216.2893693  206.94565649],
295,[178.82782564 138.326725   118.12948066],[174.78539003 188.90663539 198.72558069],[116.67373151  90.06846673  72.46956236],[36.15331399 33.05175842 32.21678622],[221.72574594 203.40223929  41.59728426],
296,[198.58641489 144.58849945 145.51206937],[214.31342069 210.16375031 206.65972166],[127.89723992  78.12694032  76.99452701],[171.47478013 108.52156078 105.04003676],[50.46695133 42.50637576 48.24277609],
297,[186.80500162 182.42091588 189.35855797],[139.45809488 100.95888782 102.34649728],[196.28937955 152.02083385 132.00009868],[ 29.58734797 167.00142158 205.03964619],[64.09414262 52.28557756 63.60815091],
298,[213.88375549 174.61257884 151.1178792 ],[110.94194396 208.6145359  101.38686515],[84.43301134 63.32556349 63.39755705],[203.82075299 156.77944755  94.92466465],[162.06064337 107.81401197  84.78763548],
299,[138.7314561  104.51908663 102.92089626],[200.61599852 155.43320631 141.0145599 ],[210.88762469 208.56629702 199.7538775 ],[63.45137066 55.60850256 61.38883282],[212.28306686  39.13263081  73.18866279],
300,[235.90967153 228.70772506  20.00395377],[219.8009161  208.19144974 200.53863628],[145.61707438 102.23621978  92.2401671 ],[202.32921601 148.72440823 133.98559331],[79.69842991 61.77794645 62.38932743],
301,[239.81626282  92.90694217 167.710718  ],[175.21851171 144.93227232 131.75714621],[204.71176179 202.13909677 196.46739454],[119.30907916 101.91276825  98.74894136],[59.12231224 55.20564691 61.21300755],
302,[172.70194349  91.63750225  71.7450063 ],[67.83083816 54.82005236 53.0859545 ],[201.12918511 147.54863146 117.14915726],[211.45296913 201.75907453  46.82012848],[220.74093579 213.49996624 203.86179191],
303,[49.70443451 58.49622595 88.72777618],[101.90473243  86.23729559  86.3816754 ],[171.1849042   61.92448582  66.07062452],[48.45124469 46.71406598 62.48022667],[203.27877866 211.00467946 199.76017782],
304,[148.3993351  110.97127269  85.15131945],[212.61127425 189.32279473 170.9244565 ],[55.7867369  43.6598849  43.17781636],[227.75240146 213.60889367  37.57005631],[ 25.39613238 157.07336523 186.25299043],
305,[243.75334448  45.50167224  66.13509317],[202.28111219 132.07509861 103.04730682],[64.66388706 53.47251385 61.93748875],[217.28327759 211.03352843 205.14021739],[157.75590729  81.52485589  82.35325854],
306,[125.17290417 130.28547184 136.08084857],[167.96896298  83.55966224  90.34843   ],[211.93013595 162.93310045 122.20118958],[61.93998204 63.02299883 58.34645579],[234.34044676  72.36954019 155.71359484],
307,[123.14891511  84.53209561  80.06333935],[190.6400518  115.29680488 100.05737156],[53.40769788 51.68107605 61.37965856],[219.39039648 206.09647577 191.64651982],[242.75574266  49.56868308  74.25478173],
308,[55.04009685 41.17016172 51.1780367 ],[201.56696453 140.88230184 114.57304595],[134.38640059  86.99817689  82.11096329],[248.07083262  20.35518474 131.38344969],[210.98057375 199.44541612 197.36929233],
309,[199.00955585 135.37076403 130.05310094],[162.83557854 102.77416406  89.75674765],[50.5757566  47.35934133 53.66918599],[215.46983886 200.22922467 194.93191597],[109.57850753  94.30985161  88.30091873],
310,[209.58538931 161.11921147 133.3069237 ],[59.18700194 47.9419882  53.31040926],[125.99581966  99.86149926  90.44621355],[219.05581635 218.12793397 215.0797008 ],[179.95971449 125.16567868 101.51653359],
311,[175.53340365  93.72147054  75.93744162],[40.99299155 38.90815972 49.73929602],[110.43368892 148.90211631 198.76025465],[213.76856979 124.70608724 126.02862072],[216.50408863 201.83793854 206.1478172 ],
312,[172.90654633 130.73461513 104.22843503],[95.63052067 76.65806048 58.73551618],[120.38820496  99.48673377  93.10321018],[251.13749518  42.10584716  69.59320726],[156.51050801  55.86380205  68.61021433],
313,[221.58571    215.85582408 208.288577  ],[50.91176078 50.49565865 59.90242925],[114.41389677  84.16983076  81.17962788],[175.45499742 114.66044199 108.81710977],[196.72903151 155.35322883 140.83174169],
314,[200.50455855 149.49657115 126.47297491],[182.88108516  96.60199647  81.78989462],[121.16762062 115.1256859  126.20546358],[210.97948799 203.99782689 196.47357821],[84.22247962 72.3517336  79.98730473],
315,[114.99636836  59.0625708   69.50546412],[205.79164376 137.65152556 115.10969855],[176.36318243 103.10688409  94.39134382],[208.17308837 174.07314791 181.13875422],[181.67588301  55.01812095  73.80588761],
316,[217.23288934 201.01106557 199.53340164],[203.29883166 144.54106841 150.81947241],[119.39814254  85.20682992  85.16192207],[186.90308594 120.49109311 109.50082012],[52.23713475 44.23074367 50.2778843 ],
317,[141.10494095  99.75142222 103.07245372],[206.17288784 151.17961743 133.54501892],[65.71524422 55.3430889  63.70633152],[219.77367531 210.47959414 199.61854566],[140.58062797 163.68069949 185.65220379],
318,[183.70122972 174.31724496 171.73110675],[51.98756438 48.96774979 55.32821425],[202.89754552 143.14870526 116.98007685],[152.58393276 108.36369514  97.50405453],[216.66081441 214.66843636 209.84055228],
319,[200.08485057 130.23640931 106.04835108],[223.0991852  217.21001041 210.9724928 ],[84.75739254 55.00674103 58.14340318],[174.87719161  64.32895175  70.43393343],[212.11924955 168.75428425 143.45558468],
320,[209.46720511 172.81470228 181.79558808],[58.63307416 50.80763389 55.41044922],[174.32526068 101.79018308 111.27240402],[200.28532229 126.76010716 149.68899172],[104.00207326  10.00656531 162.98946095],
321,[218.44477126 169.6821349  134.87289394],[49.86520797 47.01694849 50.7024816 ],[128.88493779  86.03878055  78.26855202],[216.74286695 207.20187162 191.30790144],[181.31964941 131.3608972  110.41452214],
322,[158.79699207 140.98353404 124.39249282],[48.55474059 45.84050787 52.14450234],[215.46467991 184.37330298 147.88490618],[150.94746721  65.52057007  72.86527423],[ 62.03539318 228.78264593  25.08334523],
323,[127.17557312  74.19332476  69.14098894],[220.43345171 189.2070276  174.34469296],[50.53836235 45.62478508 49.2574683 ],[214.00894707 152.83775571 116.07980234],[178.22592009  92.07814173  99.36462895],
324,[190.98099525 125.10300705 113.18539052],[60.54607834 51.39414251 57.01422339],[212.53874539 208.16789668 211.09628495],[202.15250995 160.14384209 157.4442539 ],[116.7651595   95.513691   101.15676115],
325,[209.50796235 201.12254937 190.43421332],[72.50474171 56.12527584 57.83350736],[193.99912252 142.79265636 116.54579564],[252.56338845  93.93501596 122.0314283 ],[141.46806905  97.61638053  90.84237336],
326,[187.24041196 139.94508375 100.6277816 ],[167.95886675  98.14634173  85.37087017],[227.75400255 222.70956995 210.97014982],[32.14209624 27.9727363  26.68109596],[101.41388148  73.57869135  58.981589  ],
327,[156.1214574  106.1571777   81.65225801],[162.26179984 162.85930749 155.29581303],[190.25844822 166.59881551 113.92420246],[246.78830185 242.1828634    2.47549959],[185.45126836  69.71905398 243.52870494],
328,[120.12199709 102.39175686  95.07061593],[54.50509447 47.35567713 44.07370198],[203.5161258  147.57809798 115.92173913],[ 54.20768456  61.93102156 124.60825587],[221.27110307 216.68745649 201.42670194],
329,[168.24162177 119.12241379 101.30417565],[45.45454389 41.98945446 47.33430403],[213.31939146 155.76073688 141.63267962],[227.87834233 192.14258555 189.81569668],[103.33743154  69.71414309  61.78157805],
330,[169.07682475 121.78492034  93.38404965],[105.51448978  70.32268834  74.3921955 ],[210.7402022  161.38123585 128.59627996],[175.90119073 169.59000638 162.71116309],[49.79055281 40.75196735 47.96697975],
331,[196.34794711 149.80584551 130.68644995],[172.98765961  77.43190076  65.00724073],[62.83436434 52.17351275 54.87646702],[ 85.20834229 159.98202537 194.51588906],[227.47673037 220.03173582 210.73442915],
332,[193.69085544 205.32546398 207.17709593],[173.74914926 122.47851708  79.77626228],[50.44257399 55.20731617 56.30481574],[ 48.84906494 124.88568203 153.35149463],[187.62068215 159.5866705  137.51138511],
333,[165.74103033 149.15165821 145.05768323],[224.93895685 188.36886989 156.75045798],[133.62269064  87.52989461  78.87273404],[64.30740657 53.81588088 61.80624879],[207.10726508 132.9195601  109.52406246],
334,[114.82081902  90.05401904  79.59525151],[214.32410389 181.26265879 156.57887194],[190.67452399 136.16473334 108.256079  ],[49.36453807 55.79226197 60.51513887],[234.85982182 232.87991402 222.73802255],
335,[172.40598573 121.01116036 119.05338112],[86.54036138 81.57847749 83.53841014],[235.96149393 106.23901831 117.08352045],[219.30504863 209.04316384 210.01541566],[236.90896302 164.45475425 142.27151757],
336,[67.98939541 68.88007646 79.31256055],[234.80191739 180.409092   138.34109421],[165.75849425 123.70211223  93.44709655],[ 58.30788614 111.22272515 163.40037331],[241.47651086 235.88467894 224.56936575],
337,[248.21120932 247.88425926 241.54882155],[154.3944968   75.19736148  73.77062445],[51.85612666 54.75008195 53.13307218],[221.58876388 178.98494007 151.75340834],[216.60811001 144.01450599  94.11522251],
338,[74.7516376  65.02258613 52.45482773],[176.84385176 119.26906842  72.99224686],[179.00466587 171.47283447 155.0751225 ],[230.44710126 157.86840992  90.6722994 ],[243.21823617 240.09014603 227.66735656],
339,[143.47123894  97.48340708  58.61910782],[196.44646247 145.61559181 110.32141758],[209.71576495 196.76644725 194.77131023],[57.21931696 44.81962983 57.55102497],[ 43.14629078  98.83029715 176.14899217],
340,[246.84789033 246.19425471 240.90931551],[199.69915368 109.88924152  83.89316514],[79.99668085 62.24579826 52.12163182],[217.81244219 173.08742327 141.17703282],[ 51.56664301 151.92817601 199.71951739],
341,[88.9427696  73.34536823 61.8475243 ],[206.40348767 216.82401283  28.78753257],[142.35923423 134.00618382 119.65433855],[196.16751329 195.07569787 185.02634827],[129.84233665 106.71045831  77.5940398 ],
342,[178.82755293 117.21033372  81.58991024],[234.64457753 229.03580508 218.0756603 ],[211.78482168 156.2759906  118.11211296],[41.9421942  32.76154903 33.78562535],[104.00492068  72.6872826   56.3435706 ],
343,[149.49811013 104.10942938  69.73981384],[96.36405362 67.11398523 44.6188638 ],[231.39132259 228.91945826 220.41715108],[202.81447128 164.11520006 109.7023028 ],[41.84730005 31.65197591 27.26674222],
344,[124.23077829  89.41821649  64.57601582],[182.98982387 128.20078278  95.44280123],[234.66598285 228.23725107 215.89026727],[62.68345469 60.45074838 53.93456715],[222.34606949 163.89045365 126.76984219],
345,[70.29693923 49.92525752 53.19221132],[168.53394687  93.06268541  69.78827872],[225.4820068  216.58071781 206.76548948],[181.84759006 141.09717456 124.28004058],[165.30947702  53.7641144  106.68140276],
346,[192.37300335 152.08219286 123.99497141],[65.58582101 49.08775846 48.24709383],[172.92582636 199.30196941  91.93529663],[214.67029543 204.39670845 201.6072502 ],[134.06920994 101.0881192   67.63688028],
347,[153.36694175  68.27511661  65.01034565],[218.39046341 214.7229499  210.57405299],[65.57408357 50.9045373  52.16834145],[194.99042607 132.99916495 103.04536451],[201.77687471 165.23576139 168.69240914],
348,[252.54509701  87.97279759 150.33239381],[246.85769981 156.76738142 185.51786875],[199.41152864 190.17329442  89.39948924],[144.05147059 242.8442402   22.31176471],[234.27771026 230.43233759 220.64509383],
349,[218.04861739 198.01180708 207.09142008],[153.64342114  95.88765968  83.10504355],[67.22291812 52.49916879 53.22904585],[207.42950291 144.60516779 132.69659571],[ 37.73675931 192.65862611 191.30529628],
350,[160.98360685  93.83580378  67.71672843],[49.82745761 41.00152837 44.19630339],[202.24264877 133.8218592  102.48640607],[245.04701617  69.72325711 156.69944228],[235.12197264 229.14585259 223.74560917],
351,[63.0520523  52.74192079 60.0275158 ],[ 56.9709367  113.59676651 159.97001556],[211.18056338 209.40052314 208.58028169],[203.32750105 139.92925943 135.97246564],[159.05388429  88.73551971  95.97379257],
352,[41.50794777 42.13258096 47.55492513],[221.22514153 218.03939614 213.50599506],[154.16497862  97.00135044  89.77305124],[203.91564338 146.0909978  120.58193055],[87.72496319 76.00095867 70.47964529],
353,[124.07310401  79.49989166  65.17654388],[216.73139571 140.38043933 101.10144321],[236.30300528 232.59285063 224.83461492],[42.73986121 36.27187715 40.1571759 ],[174.25560102 112.90428635  77.8975003 ],
354,[235.34624103  67.45863241 156.6530034 ],[220.30203928 215.40172016 210.78355343],[188.81930636 161.97948806 148.32459148],[148.6556966  108.50847037  82.45968106],[47.66084873 47.41045859 56.84906229],
355,[144.53722484  55.29352809  73.20100117],[165.50165088 120.47451909 114.39915303],[53.77943349 42.21462073 47.33918679],[137.02413826 174.76117074 194.57383328],[222.2021561  218.79404916 216.74191462],
356,[106.43713845  65.5666079   72.27902044],[154.07669271 129.23222656 133.52330729],[42.37223563 38.58544431 45.71635002],[194.76413997 187.83815376 191.58157183],[219.07574239 214.66453736 212.50630563],
357,[194.40254217 149.99650609 119.19440975],[140.92100309  98.83323305  79.35719415],[214.53824981 209.89924864 209.86733454],[76.91899453 54.56547942 61.40598772],[217.08220962  39.69820717  34.86201348],
358,[228.66085329 224.80406937 213.35860676],[44.69292283 45.79517284 45.20250082],[124.62281825 104.7105791   82.5144241 ],[190.02227639 148.98378144 111.78293189],[156.56253413 186.55707264 151.87513654],
359,[106.66983493 102.19906974 114.06896029],[64.73798382 60.68883742 72.24696656],[186.86287983 114.6669219   90.38885307],[158.81654993 156.2332453  166.33907452],[218.57773629 215.30988545 213.80799314],
360,[222.85972009 223.58632073 222.96917283],[202.87797147 158.28656221 111.02263553],[48.11782841 38.0071583  40.23565683],[159.52323489 116.48586853  83.17797537],[107.48362389 132.55105369 176.84731764],
361,[202.29157846 192.62075324 188.10753902],[168.04673132 140.53489774 127.91658711],[36.91889152 39.80567759 64.25367523],[137.36266273  92.29380705  78.98984587],[119.04504047 155.8017804  176.82945504],
362,[177.41761034 101.43825149  85.62984036],[214.83201624 135.08477811 112.04160955],[68.05846536 48.15144823 49.16812812],[227.80420556 215.8157923  200.23452419],[125.36126939  73.88096731  66.01573107],
363,[216.92286805 197.57014679 169.03750344],[42.2703784  42.86630511 51.38186401],[174.10473961 143.5642481  123.40590989],[92.57652234 86.16376632 95.39189003],[232.53404837 200.49632882  61.44694788],
364,[207.05794672 123.51642992  87.80116442],[207.85276754 199.10727969 191.76100629],[91.58749888 60.49797838 61.31755968],[111.52286504 159.27104825 195.6487823 ],[181.38306452  73.85016076  65.11851676],
365,[186.54943449  60.77613383  79.99912306],[211.74621902 208.03799452 200.96310123],[180.74421001 119.78143619 114.4147292 ],[41.94032961 39.41490997 45.73106393],[106.17858926  74.82734082  78.92303371],
366,[183.95257024 123.26566688 101.09841299],[220.08788789 189.90208776  97.40923691],[154.58681103 152.08664307 156.21204682],[96.19998586 69.74614732 69.77767567],[213.21957752 198.74192488 189.2780179 ],
367,[72.29669122 65.95094998 64.50452372],[167.21751774 115.40089073  90.87273504],[215.85234034 208.82970496 203.32900754],[123.94758674 154.84735575 181.24727594],[193.07572099 175.80886557 177.37866045],
368,[182.73299683 113.90199314  89.75742574],[109.97290629  88.82447405  79.72179608],[41.67474208 41.1228826  46.66537119],[173.51034668 157.81091079 139.18747342],[217.07657918 209.51065061 202.73562825],
369,[ 72.51509569 100.2072404  141.87808304],[227.58120549 205.35452493 198.66087661],[82.70147902 64.08010866 60.25831573],[211.75832006 162.18411982 147.06196456],[190.52866903 131.4859898   84.01422641],
370,[48.18077941 49.87557133 64.28866971],[154.34634252 130.90863512 133.34991343],[214.62944603 221.00637591 228.57336471],[124.45480737 201.41354122 229.48305755],[177.2140052  181.660133   198.72375334],
371,[222.27106793 222.39211769 221.29912822],[143.61493481  72.75129725  71.22797313],[50.83478279 43.51260819 47.67880326],[171.4899396  128.44782337 107.3963341 ],[103.1737044  148.70460988 174.43061088],
372,[238.94515174 227.9682059   25.26391852],[ 63.25313701 167.40366029 209.28367952],[ 54.26891871  94.45256927 141.56669388],[214.68175679 216.73904336 215.59130921],[204.20681484 152.26219241 123.34844035],
373,[81.92992322 57.09995599 56.34265734],[195.72318159 153.01479064 131.59649317],[159.95137789 108.28290653  89.93092283],[218.35166182  12.93322101  36.99770256],[224.03912003 213.25362052 204.21907216],
374,[190.66873268 110.70930243 131.74486711],[183.11223865 200.69534057 223.6583837 ],[105.41698024  69.99976482  70.67668156],[215.91751524 155.83393555 161.32256652],[195.22712781 132.73173925  96.05590663],
375,[185.65824651 137.48045321 106.69660284],[216.36473169 200.34427875 178.68469005],[122.9233499  103.05727861  81.74720279],[68.68930799 64.63617291 59.1409448 ],[237.47619887 224.12940762   9.44799013],
376,[223.50534539  15.97173109  47.9922903 ],[74.10467118 48.68839665 52.37581774],[189.49125281 130.7469484  106.89990305],[157.24625726  31.85912399  50.99973603],[226.61757998 220.93966247 217.85549293],
377,[143.96732269  95.53165615  67.65605273],[40.10347243 36.10427729 41.61615169],[196.15161361 122.02970567  64.95140064],[182.94832023 162.64604888 140.41431903],[91.63812927 61.99518874 55.46743553],
378,[226.87357044 156.77823659 147.86829207],[157.81975199 128.13838967 104.97501357],[240.12063134 238.04527384 232.85432861],[57.87020765 46.43130055 48.62002186],[140.21800774 148.94520309 177.41789168],
379,[240.7556692  241.74585038 236.31034483],[20.68242411 18.26777387 26.08765948],[107.88249366 122.34212085 157.89012056],[131.15134696  88.850434    67.04793028],[206.31440092 159.87688121  74.58111404],
380,[193.72410562 155.82274957  98.39862742],[225.54649194 227.41043326 225.94855477],[131.39424899  84.13881935  66.54171177],[ 60.82705485  84.37336408 121.59867502],[43.40335329 41.39239739 41.55106233],
381,[167.58598583  77.46754343  92.25242385],[226.08580756 136.32890552 140.53128078],[242.83389662 244.91600398 246.87127237],[116.75057112 175.17784211 217.22885095],[31.81784344 37.84840421 38.52860991],
382,[161.89064814 109.69172105  80.07990712],[46.81985306 40.93445411 40.42978601],[191.53860178 202.03609494 219.62451792],[124.40693201 140.09253731 176.73970149],[239.06527714 242.86732516 244.23065333],
383,[225.2350661  170.51209693  80.02829482],[29.68194655 20.83688855 17.93956127],[225.45401003 120.99061602  57.98328918],[119.61256386  76.80605542  47.05262628],[248.46333608 241.16743122 193.65193324],
384,[237.98774025 240.23917522 240.29631407],[115.88401254 116.11984125 117.80025021],[187.19921908 167.43026407 135.9753101 ],[52.76316014 64.00677172 69.76650341],[247.1859375  200.70965909   7.10014205],
385,[229.30392309 227.39951931 222.11854551],[236.48395954 166.78623555  59.73320087],[139.02793194 124.90890052 118.42719895],[91.07049307 62.14657165 55.51651863],[33.65122399 27.69132926 30.69745607],
386,[47.19205798 34.61532651 29.4242397 ],[17.79284504 13.76814402 13.64084073],[134.24571781  99.35050541  70.55257256],[198.89108585 199.98044662 206.61781368],[101.7409231   69.09739951  44.94256987],
387,[160.60846708  78.87260366  46.38309927],[237.73469517 236.63407981 237.60283575],[46.38802869 34.2320519  29.88715441],[ 39.09066166  49.8264203  106.86429502],[184.24509465 136.65376493 109.984372  ],
388,[21.02437767 25.63782979 26.73565556],[ 61.52231407  82.18112284 102.98409535],[225.83087374 133.51891544  64.4605294 ],[167.04991709 164.38897288 160.96732345],[237.07943033 229.01033881 200.50475419],
389,[232.04712524 213.80165918 196.97631063],[174.06150445 156.33952157 154.94521286],[222.10500055 133.38298048  87.49735362],[35.62321162 25.75936186 23.59430835],[125.70782205  92.0671099   76.957387  ],
390,[62.0669657  47.2665361  38.52776549],[186.17939719 182.08843415 165.36720685],[127.70034428 115.39402624  99.46217549],[116.58433054  78.44458425  54.99830517],[162.72041119 152.05525097 135.50155584],
391,[53.8543276  45.30229305 39.32184782],[142.15684704 117.06923039  90.39197869],[219.33477555  74.77819091  84.07335046],[157.60222777 167.16450656 164.6119873 ],[117.1310899  85.8516637  63.8400151],
392,[22.34074715 27.18269479 27.51005576],[90.14910995 78.54094241 70.60393717],[101.5065845  132.05499361 166.20988109],[151.25753537 117.76009842 103.46517668],[189.34202222 193.98715602 191.66255365],
393,[237.97185741 197.10594387 100.40355674],[239.23765707 239.98728177 233.65626042],[38.14302691 32.45318261 27.85995917],[106.06068419  79.83873919  63.23178643],[245.93049741  45.05522039  59.03016498],
394,[170.75438649 113.77511172  91.91835878],[42.36318699 34.51257735 35.65032405],[195.43658439 162.83176752 150.00091561],[221.74398532 214.00205699 214.17524754],[141.28973347  53.50375092  51.80419721],
395,[132.02284009  66.99758579  45.53571138],[162.26773382 114.37135667  79.78523352],[30.24621221 30.58759914 29.12658605],[180.93841943 182.85118029 172.30140267],[100.88859367 124.95130994 150.7920786 ],
396,[83.70287752 75.38548342 71.44003144],[23.41647405 24.97512946 24.27952481],[141.99583793 108.48380303  80.9929295 ],[50.3725909  45.74819166 41.45885723],[182.25442779 181.43914623 115.49256358],
397,[163.39633785 192.19277885 204.69047066],[36.36184184 37.53116062 44.05100109],[172.55725789 115.97309912 108.85466401],[101.77212196  84.06622986  92.04153559],[217.68124882 212.97141245 207.40374271],
