Id,color1,color2,color3,color4,color5
22,[152.79130379 129.0469002  117.95045481],[168.42779325 165.0916354  164.73977121],[29.82100639 32.24015145 40.99277436],[215.78390334 210.29119216 205.19659075],[82.89846194 80.70832922 94.48727069],
23,[127.90289683 106.24102158  90.15438041],[161.23191495 150.44154515 137.65248287],[ 90.76868025 124.0786537  145.67518416],[191.26359966 185.15034103 172.6375845 ],[31.07969037 35.15183047 38.7800901 ],
24,[204.90516103 188.98598572 177.32518529],[115.59914598  98.85504848  94.107784  ],[74.87007278 67.90634501 67.56956344],[160.26324272 127.29460728 117.09010892],[157.52071047  63.17186184  58.61885706],
25,[156.6306775  111.23924966  85.772253  ],[209.89059076 208.91346951 199.90363676],[79.00057151 69.77795618 85.2026126 ],[192.45124259 146.66406764 107.0588792 ],[46.80120579 47.46493858 62.63107328],
26,[165.36908517 124.30599369 115.86855941],[222.49760766 212.226874   202.68859649],[198.64479495 164.87949527 152.57728707],[101.56195965  73.35158501  68.12103746],[ 37.  76. 120.],
27,[194.54843301 163.77077464 132.00787127],[153.36973137 122.08727456  92.61715223],[65.47043575 47.80685658 43.00859257],[217.1645903  212.82304474 201.75421586],[112.64544521  83.68560945  64.72151484],
28,[201.98340976 198.75783142 187.53267814],[54.00413237 53.54449857 57.35635814],[211.49472508  97.87662902  52.70274296],[ 70.49699034  84.41969837 121.74945981],[154.0803925  120.13102205  88.09635278],
29,[136.96031189 129.45402038  93.07454928],[215.42631732 171.64932775 123.80292503],[222.50836978 219.46166392 216.0504158 ],[54.78470768 65.14478902 55.89132689],[105.58953409 159.37574918 183.69670926],
30,[132.10547309 109.05473085  86.10935766],[169.32459237 146.71931189 125.89204188],[69.13232206 56.61815352 45.14203128],[34.6119709  28.80873894 25.83169543],[214.38010873 209.26814432 200.14139072],
31,[227.01505039 224.15207028 212.82235086],[184.24813687  99.36767083  88.13288548],[212.30153937 166.81851293 137.84254518],[ 82.56216292 121.72434685 137.42761084],[67.69908966 72.01671512 71.09684823],
32,[185.94888628 147.96507461 112.9188421 ],[130.8941317   79.02565548  58.5681854 ],[213.58202779 206.85606767 196.87750972],[162.61179435 113.37914987  89.58494624],[72.50412318 47.71207035 34.52700139],
33,[182.64908355 147.26246339 109.83510481],[155.07724797 156.86305124 152.03478591],[144.91015445 108.84290847  82.70780238],[194.57997281 192.03138001 184.767845  ],[86.98302702 68.21924298 51.09137294],
34,[181.7639132  152.40375255 120.71444671],[ 74.25197006 101.0504731  139.13105494],[130.03184755 112.25729974  79.61748493],[56.31647799 52.70914178 52.45996425],[219.09233025 216.98077029 210.60807371],
35,[190.09942689 184.30107397 146.93982373],[168.70625462 146.80333056  96.56922118],[147.39765967  92.70007191  46.4662679 ],[65.02874486 57.95323887 42.91120679],[243.6698473 242.4036165 236.8241522],
36,[202.57025831 190.8282858  172.87041234],[71.04193876 56.07461172 44.9781592 ],[153.01897699  71.95869937  41.56902453],[ 51.55978012  74.61429226 131.52611086],[169.33817117 137.02221586 112.55097234],
37,[97.93884984 78.70560282 67.94067097],[53.74826458 45.157064   40.40589052],[219.81521768 214.46772899 200.43014637],[187.94888059 163.43021474 149.77222028],[155.5242254  127.29999383 114.17192322],
38,[64.04063013 55.23117373 46.68835255],[170.72605572 132.28082424 102.38703992],[196.03577123 159.44366364 128.10802232],[211.89321008 200.77362682 182.99162432],[131.31873479 100.83140714  77.40781292],
39,[142.59651208 115.61345492  96.45969201],[194.60537651 182.15488497 175.15336475],[74.825337   61.16471666 51.94579244],[110.56861611  90.73587785  73.95969801],[184.34199895  64.3260144   60.34164764],
40,[230.73928324 222.71194008 207.35673673],[168.16926553 114.96916125  75.46801907],[54.58497763 55.13158492 42.18253232],[197.07264738 145.48989536 101.08302558],[114.78964503  80.11720227  55.67601344],
41,[151.16658985 118.88303078  99.53245993],[171.71161369 169.47326449 163.01815072],[131.62400321 147.98196414 145.54575863],[73.21191651 64.81789263 59.25530774],[218.6147175  214.13432104 203.50434917],
42,[56.66061029 62.64390804 44.23143509],[191.92280669 187.61686851 178.32122277],[138.33789106 104.75552016  79.53568742],[80.02127518 96.25038823 61.79553421],[170.33698208 136.42536134 110.77275005],
43,[239.45152067 239.91512445 235.96727572],[123.86655865 111.79479406  86.24581852],[191.29361334 155.99245196 128.24272154],[151.96572435  77.91666426  72.12939274],[84.99461923 68.94383817 60.68319013],
44,[178.18773322 136.07526809 103.27890207],[196.0728399  163.66198512 136.75399623],[150.09547463 106.63786079  80.14466138],[217.11067781 204.89960012 192.33371889],[112.16644078  79.64110277  63.68563023],
45,[152.82990241 105.71689418  87.90687501],[ 42.96886405  75.53957573 116.62351734],[173.70682088 165.1849895  144.21504795],[54.46587497 47.25573562 39.31522827],[110.49490884  73.41174786  56.16166036],
46,[144.25660822  86.48085683  67.59578622],[179.61774277 127.94216721 103.00332352],[212.60303807 200.97675695 186.50274524],[100.40874717  63.43732358  52.52875065],[57.2612653  37.53673518 34.45805007],
47,[217.51139997 219.93972244 220.3088066 ],[146.51174543 107.51648308  90.81722531],[196.55466474 128.88808253  97.3688716 ],[211.47336264 169.05133581 151.05368053],[104.87373106  75.22042813  69.18254377],
48,[165.67067551 113.96008503  80.42596777],[189.87322187 185.90181654 178.90745594],[140.25473999  87.61676238  56.39867044],[85.48725398 67.20021868 51.18075601],[ 55.15792356  95.37641003 122.77165699],
49,[188.51993873 182.38192616 168.30612135],[134.76145904 106.09469738  76.39139394],[167.98395115 140.30017184 109.81574506],[54.25638563 48.54206944 38.36226874],[91.75283638 81.95924925 56.64724783],
50,[148.50808861 121.24775924  91.92964366],[66.31017459 55.75743961 73.3577676 ],[196.14295344 193.13787427 185.9501019 ],[49.16033921 41.98192446 49.50046567],[ 69.3570269  112.91941095 122.77330705],
51,[196.76587885 187.35207547 169.4620854 ],[81.61561314 66.20993563 52.34051274],[123.12234111  91.7861193   65.95382176],[147.62557384 116.46884866  81.96601949],[164.2577776  145.81393051 121.02652488],
52,[196.31688086 184.70329352 167.67432797],[54.04442573 46.20167401 40.41825566],[174.44683641 119.07476778  88.58509453],[116.15987805  85.12551829  64.16042683],[161.72232981 159.41546254 148.1713094 ],
53,[ 56.3744319   78.46340721 109.26631683],[106.89501414  85.35708473  63.58069905],[53.06040393 49.53129516 46.62738558],[156.89843081 127.65184023 102.79466476],[186.46511829 181.4878239  168.95851749],
54,[174.23996218 131.35583358 108.80353506],[58.64557486 48.84408602 45.79937965],[152.85035314 104.59935592  97.94884908],[122.10958822  86.84867059  72.82399164],[203.42394313 195.70667441 186.20443594],
55,[123.96914246  96.3230553   69.97975633],[62.01997503 54.57756236 44.05830947],[ 88.38129181 109.47403632 109.23243867],[165.5802721  133.54923317 101.09275117],[194.31661434 183.50463167 167.59996367],
56,[194.01580899 187.53316222 171.02047695],[55.9678124  45.65754027 39.56176622],[169.67439737 122.53289717 113.5975395 ],[129.00839823  89.36570469  69.53709399],[187.38135219 150.45028723  65.48528502],
57,[203.31244793 200.2453138  183.03476465],[58.96728972 56.45723756 51.1499674 ],[155.14354591 130.72043246 111.74042418],[ 62.08211827 104.94380316 141.13112596],[177.36446473 170.35546093 154.7021887 ],
58,[119.7008453  106.29539236  74.80951334],[200.49023875 196.2031875  180.38378324],[51.69526358 47.10818376 39.92776291],[162.68177169 135.04736055  99.45923478],[85.65246868 77.74944731 55.61815279],
59,[84.2284215  84.77793246 56.87534804],[178.32037657 171.81290397 168.91583425],[113.30449493 124.85493337 121.73534489],[41.24495346 36.63777715 32.13115938],[150.09322699 108.90742678  77.36064984],
60,[44.23263855 41.89066675 48.42819279],[176.61140896 156.23884838 138.12668883],[174.85136837  96.92018779  77.41635177],[89.03625321 83.76455904 94.06237192],[204.95044517 198.14872306 186.64424789],
61,[156.6285719  122.77536374  90.40391926],[181.39702521 149.65807799 118.23194772],[79.47358931 58.25350021 44.87834111],[127.3023162   96.00498346  67.07055524],[207.1536741  193.14773394 186.13319522],
62,[152.52495046 106.12426265  75.02448357],[216.99035754 214.27333975 203.15909172],[124.26679143 136.07808276 147.43169058],[102.29914823  68.73126393  53.14222832],[42.3650336  36.42751853 29.6289171 ],
